step,reward,confidence_level,fatigue_level,current_mode
1,1.0,0.51,0.0,exploration
2,1.0,0.52,0.0,exploration
3,1.0,0.53,0.0,exploration
4,1.0,0.54,0.0,exploration
5,1.0,0.55,0.0,exploration
6,1.0,0.56,0.0,exploration
7,1.0,0.5700000000000001,0.0,exploration
8,1.0,0.5800000000000001,0.0,exploration
9,1.0,0.5900000000000001,0.0,exploration
10,1.0,0.6000000000000001,0.0,exploration
11,1.0,0.6100000000000001,0.0,exploration
12,1.0,0.6200000000000001,0.0,exploration
13,1.0,0.6300000000000001,0.0,exploration
14,1.0,0.6400000000000001,0.0,exploration
15,1.0,0.6500000000000001,0.0,exploration
16,1.0,0.6600000000000001,0.0,exploration
17,1.0,0.6700000000000002,0.0,exploration
18,1.0,0.6800000000000002,0.0,exploration
19,1.0,0.6900000000000002,0.0,exploration
20,1.0,0.7000000000000002,0.0,exploitation
21,1.0,0.7100000000000002,0.005,exploitation
22,1.0,0.7200000000000002,0.01,exploitation
23,1.0,0.7300000000000002,0.015,exploitation
24,1.0,0.7400000000000002,0.02,exploitation
25,1.0,0.7500000000000002,0.025,exploitation
26,1.0,0.7600000000000002,0.030000000000000002,exploitation
27,1.0,0.7700000000000002,0.035,exploitation
28,1.0,0.7800000000000002,0.04,exploitation
29,1.0,0.7900000000000003,0.045,exploitation
30,1.0,0.8000000000000003,0.049999999999999996,exploitation
31,1.0,0.8100000000000003,0.05499999999999999,exploitation
32,1.0,0.8200000000000003,0.05999999999999999,exploitation
33,1.0,0.8300000000000003,0.06499999999999999,exploitation
34,1.0,0.8400000000000003,0.06999999999999999,exploitation
35,1.0,0.8500000000000003,0.075,exploitation
36,1.0,0.8600000000000003,0.08,exploitation
37,1.0,0.8700000000000003,0.085,exploitation
38,1.0,0.8800000000000003,0.09000000000000001,exploitation
39,1.0,0.8900000000000003,0.09500000000000001,exploitation
40,1.0,0.9000000000000004,0.10000000000000002,exploitation
41,1.0,0.9100000000000004,0.10500000000000002,exploitation
42,1.0,0.9200000000000004,0.11000000000000003,exploitation
43,1.0,0.9300000000000004,0.11500000000000003,exploitation
44,1.0,0.9400000000000004,0.12000000000000004,exploitation
45,1.0,0.9500000000000004,0.12500000000000003,exploitation
46,1.0,0.9600000000000004,0.13000000000000003,exploitation
47,1.0,0.9700000000000004,0.13500000000000004,exploitation
48,1.0,0.9800000000000004,0.14000000000000004,exploitation
49,1.0,0.9900000000000004,0.14500000000000005,exploitation
50,1.0,1.0,0.15000000000000005,exploitation
51,1.0,1.0,0.15500000000000005,exploitation
52,1.0,1.0,0.16000000000000006,exploitation
53,1.0,1.0,0.16500000000000006,exploitation
54,1.0,1.0,0.17000000000000007,exploitation
55,1.0,1.0,0.17500000000000007,exploitation
56,1.0,1.0,0.18000000000000008,exploitation
57,1.0,1.0,0.18500000000000008,exploitation
58,1.0,1.0,0.19000000000000009,exploitation
59,1.0,1.0,0.1950000000000001,exploitation
60,1.0,1.0,0.2000000000000001,exploitation
61,1.0,1.0,0.2050000000000001,exploitation
62,1.0,1.0,0.2100000000000001,exploitation
63,1.0,1.0,0.2150000000000001,exploitation
64,1.0,1.0,0.2200000000000001,exploitation
65,1.0,1.0,0.22500000000000012,exploitation
66,1.0,1.0,0.23000000000000012,exploitation
67,1.0,1.0,0.23500000000000013,exploitation
68,1.0,1.0,0.24000000000000013,exploitation
69,1.0,1.0,0.24500000000000013,exploitation
70,1.0,1.0,0.2500000000000001,exploitation
71,1.0,1.0,0.2550000000000001,exploitation
72,1.0,1.0,0.2600000000000001,exploitation
73,1.0,1.0,0.2650000000000001,exploitation
74,1.0,1.0,0.27000000000000013,exploitation
75,1.0,1.0,0.27500000000000013,exploitation
76,1.0,1.0,0.28000000000000014,exploitation
77,1.0,1.0,0.28500000000000014,exploitation
78,1.0,1.0,0.29000000000000015,exploitation
79,1.0,1.0,0.29500000000000015,exploitation
80,1.0,1.0,0.30000000000000016,exploitation
